City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,71.8,84,96,6.53,overcast clouds
1,Busselton,AU,-33.65,115.3333,57.09,69,0,14.09,clear sky
2,Beringovskiy,RU,63.05,179.3167,-25.89,95,23,7.56,few clouds
3,Saint-Georges,GD,12.0564,-61.7485,83.88,70,75,20.71,broken clouds
4,Bambous Virieux,MU,-20.3428,57.7575,78.22,81,47,7.52,scattered clouds
5,Jacareacanga,BR,-6.2222,-57.7528,83.8,83,91,2.93,overcast clouds
6,Kununurra,AU,-15.7667,128.7333,78.78,94,13,2.3,few clouds
7,Lompoc,US,34.6391,-120.4579,80.08,34,10,2.48,clear sky
8,Punta Arenas,CL,-53.15,-70.9167,55.15,50,57,23.87,broken clouds
9,Quatre Cocos,MU,-20.2078,57.7625,80.71,81,61,8.12,light rain
10,Puerto Ayora,EC,-0.7393,-90.3518,79.56,85,87,3.0,overcast clouds
11,Cayenne,GF,4.9333,-52.3333,82.44,90,75,10.36,broken clouds
12,Chapais,CA,49.7834,-74.8492,-9.33,78,100,11.59,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,50.99,44,47,13.65,scattered clouds
14,Albany,US,42.6001,-73.9662,50.47,47,99,1.99,overcast clouds
15,Khatanga,RU,71.9667,102.5,-13.58,86,95,7.29,overcast clouds
16,Dalby,AU,-27.1833,151.2667,64.98,72,0,1.99,clear sky
17,Luau,AO,-10.7073,22.2247,68.86,82,90,1.12,light rain
18,Rikitea,PF,-23.1203,-134.9692,78.71,72,38,16.31,scattered clouds
19,Hofn,IS,64.2539,-15.2082,26.44,69,94,20.67,overcast clouds
20,Lubango,AO,-14.9172,13.4925,70.18,46,81,10.29,broken clouds
21,Norman Wells,CA,65.282,-126.8329,-14.76,70,40,8.05,scattered clouds
22,Northam,GB,51.0333,-4.2167,48.42,93,100,21.0,overcast clouds
23,Bredasdorp,ZA,-34.5322,20.0403,70.29,69,57,7.05,broken clouds
24,Lebu,CL,-37.6167,-73.65,68.86,55,6,13.18,clear sky
25,Tiksi,RU,71.6872,128.8694,-9.36,91,93,17.36,overcast clouds
26,Grand Gaube,MU,-20.0064,57.6608,81.0,76,84,1.99,broken clouds
27,Kaeo,NZ,-35.1,173.7833,68.77,82,95,27.22,overcast clouds
28,Pisco,PE,-13.7,-76.2167,76.01,73,94,8.03,overcast clouds
29,Krasnoselkup,RU,65.7,82.4667,-5.39,90,5,13.47,clear sky
30,Mataura,NZ,-46.1927,168.8643,51.48,94,100,2.98,overcast clouds
31,Goderich,CA,43.7501,-81.7165,18.91,83,100,16.6,light snow
32,Port Lincoln,AU,-34.7333,135.8667,68.4,68,96,10.38,overcast clouds
33,Bandarbeyla,SO,9.4942,50.8122,76.86,61,41,13.13,scattered clouds
34,Mineiros,BR,-17.5694,-52.5511,82.85,59,13,5.23,few clouds
35,Ahipara,NZ,-35.1667,173.1667,68.52,88,97,29.1,overcast clouds
36,Kodiak,US,57.79,-152.4072,33.84,81,34,12.39,scattered clouds
37,Codrington,AU,-38.2667,141.9667,63.93,66,16,10.58,few clouds
38,Whitehorse,CA,60.7161,-135.0538,21.02,86,81,9.1,broken clouds
39,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,16,6.82,few clouds
40,Souillac,MU,-20.5167,57.5167,80.98,83,40,1.14,scattered clouds
41,Port Hardy,CA,50.6996,-127.4199,38.75,100,100,3.44,fog
42,Kapaa,US,22.0752,-159.319,66.18,100,8,9.06,clear sky
43,Kavieng,PG,-2.5744,150.7967,80.83,77,100,3.06,light rain
44,Harper,LR,4.375,-7.7169,82.87,70,52,10.31,broken clouds
45,La Cruz,MX,23.9167,-106.9,74.25,32,1,1.9,clear sky
46,Chitral,PK,35.8462,71.7858,34.95,65,54,4.29,broken clouds
47,Bilibino,RU,68.0546,166.4372,-37.61,100,92,1.36,overcast clouds
48,Nakamura,JP,32.9833,132.9333,48.27,76,92,4.5,light rain
49,Mahebourg,MU,-20.4081,57.7,80.89,83,40,1.14,scattered clouds
50,Rocha,UY,-34.4833,-54.3333,67.6,95,100,11.36,overcast clouds
51,Dikson,RU,73.5069,80.5464,-0.08,75,100,27.63,overcast clouds
52,Leningradskiy,RU,69.3833,178.4167,-22.13,98,98,4.43,overcast clouds
53,Georgetown,MY,5.4112,100.3354,82.89,74,20,3.44,few clouds
54,Vaini,TO,-21.2,-175.2,80.83,74,65,12.17,broken clouds
55,Nikolskoye,RU,59.7035,30.7861,35.71,97,100,12.44,snow
56,Chokurdakh,RU,70.6333,147.9167,-1.98,95,100,13.78,overcast clouds
57,Sabang,ID,5.8933,95.3214,82.53,74,53,18.23,broken clouds
58,Lahat,ID,-3.8,103.5333,72.59,97,96,2.26,overcast clouds
59,Nome,US,64.5011,-165.4064,-14.12,86,97,6.2,overcast clouds
60,Castro,BR,-24.7911,-50.0119,79.79,45,0,3.4,clear sky
61,Alofi,NU,-19.0595,-169.9187,81.82,73,18,16.84,light rain
62,Tanete,ID,-3.9443,119.7848,74.59,97,100,5.99,overcast clouds
63,Bethel,US,41.3712,-73.414,58.86,54,91,1.99,overcast clouds
64,Bisho,ZA,-32.8472,27.4422,75.88,81,2,6.87,clear sky
65,Dalaba,GN,10.7,-12.25,85.24,9,1,3.96,clear sky
66,Sitka,US,57.0531,-135.33,40.89,81,100,16.11,overcast clouds
67,Jamestown,US,42.097,-79.2353,28.53,51,99,10.0,overcast clouds
68,Victoria,HK,22.2855,114.1577,67.17,87,85,4.0,overcast clouds
69,Nova Granada,BR,-20.5339,-49.3142,81.32,67,59,7.23,broken clouds
70,Bluff,NZ,-46.6,168.3333,51.8,64,80,14.92,broken clouds
71,Kaitangata,NZ,-46.2817,169.8464,50.94,72,100,10.4,overcast clouds
72,Atuona,PF,-9.8,-139.0333,77.31,78,10,14.56,light rain
73,Coquimbo,CL,-29.9533,-71.3436,69.53,67,26,7.09,scattered clouds
74,Broken Hill,AU,-31.95,141.4333,75.22,24,0,9.13,clear sky
75,Diffa,NE,13.3154,12.6113,76.37,11,44,8.19,scattered clouds
76,Bathsheba,BB,13.2167,-59.5167,79.16,70,58,19.55,broken clouds
77,Tuatapere,NZ,-46.1333,167.6833,51.82,75,97,8.61,overcast clouds
78,General Roca,AR,-39.0333,-67.5833,81.09,14,74,14.67,broken clouds
79,Shimoda,JP,34.6667,138.95,42.91,66,97,2.26,overcast clouds
80,Beloha,MG,-25.1667,45.05,75.43,83,0,19.28,clear sky
81,Skelleftea,SE,64.7507,20.9528,17.96,63,55,2.3,broken clouds
82,Aykhal,RU,66.0,111.5,-5.46,100,90,4.21,overcast clouds
83,Hasaki,JP,35.7333,140.8333,28.8,59,47,6.06,scattered clouds
84,Poya,NC,-21.35,165.15,77.16,87,97,2.82,overcast clouds
85,Port Alfred,ZA,-33.5906,26.891,77.31,89,7,15.23,clear sky
86,Rorvik,NO,64.8621,11.2373,34.47,79,100,13.87,overcast clouds
87,Yar-Sale,RU,66.8333,70.8333,-7.76,88,100,14.67,overcast clouds
88,Butaritari,KI,3.0707,172.7902,82.08,75,53,16.69,broken clouds
89,Aranos,NA,-24.1333,19.1167,74.89,58,90,13.96,light rain
90,Karhal,IN,27.0003,78.9414,56.21,48,0,3.51,clear sky
91,Ikwiriri,TZ,-7.9562,38.9716,75.31,94,100,2.04,overcast clouds
92,Nantucket,US,41.2835,-70.0995,55.62,71,0,14.97,clear sky
93,Wamba,NG,8.9333,8.6,92.25,9,63,4.97,broken clouds
94,Naze,JP,28.3667,129.4833,62.4,92,100,15.14,overcast clouds
95,Kochubey,RU,44.3861,46.5825,42.17,70,32,5.5,scattered clouds
96,Tasiilaq,GL,65.6145,-37.6368,14.16,64,100,2.73,overcast clouds
97,Cape Town,ZA,-33.9258,18.4232,75.11,71,94,4.0,overcast clouds
98,Vestmannaeyjar,IS,63.4427,-20.2734,34.79,80,75,3.44,broken clouds
99,Dingle,PH,10.9995,122.6711,74.79,92,92,8.72,overcast clouds
100,Sandwick,GB,60.0,-1.25,46.22,87,20,25.32,few clouds
101,Seoul,KR,37.5683,126.9778,35.04,41,100,3.0,overcast clouds
102,Mana,GF,5.6592,-53.7767,80.92,75,93,11.97,overcast clouds
103,Esperance,AU,-33.8667,121.9,64.4,68,99,13.62,overcast clouds
104,Hobart,AU,-42.8794,147.3294,57.06,73,77,11.5,broken clouds
105,Itarema,BR,-2.9248,-39.9167,85.32,60,100,11.86,overcast clouds
106,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,70,97,10.94,overcast clouds
107,Erzin,TR,36.9559,36.2,52.52,69,1,2.19,clear sky
108,Hualmay,PE,-11.0964,-77.6139,75.79,69,73,10.36,broken clouds
109,Am Timan,TD,11.0297,20.2827,86.88,10,82,5.06,broken clouds
110,Safaga,EG,26.7292,33.9365,64.09,49,0,8.03,clear sky
111,Yellowknife,CA,62.456,-114.3525,-19.71,83,29,4.0,scattered clouds
112,Havoysund,NO,70.9963,24.6622,27.48,55,93,22.32,snow
113,Longyearbyen,SJ,78.2186,15.6401,6.64,72,0,10.36,clear sky
114,Hithadhoo,MV,-0.6,73.0833,81.81,68,85,10.51,overcast clouds
115,Parabel,RU,58.6978,81.4825,-5.58,99,54,7.61,broken clouds
116,Mezhdurechensk,RU,53.6942,88.0603,-6.3,98,7,3.56,clear sky
117,Freeport,US,40.6576,-73.5832,61.29,44,0,17.27,clear sky
118,Puerto Quijarro,BO,-17.7833,-57.7667,96.71,41,49,3.2,scattered clouds
119,Joshimath,IN,30.5667,79.5667,38.25,43,0,8.57,clear sky
120,Khandbari,NP,27.3747,87.2039,50.27,67,6,2.64,clear sky
121,Piacabucu,BR,-10.4056,-36.4344,87.53,59,18,16.08,few clouds
122,Port Hawkesbury,CA,45.6169,-61.3485,52.92,86,42,5.01,scattered clouds
123,Dutse,NG,11.7594,9.3392,81.46,12,61,7.52,broken clouds
124,Bengkulu,ID,-3.8004,102.2655,76.78,86,100,4.79,overcast clouds
125,Saskylakh,RU,71.9167,114.0833,0.63,77,41,13.38,scattered clouds
126,Churapcha,RU,62.0025,132.4325,-28.7,100,100,2.84,overcast clouds
127,Fairbanks,US,64.8378,-147.7164,-4.99,76,97,2.48,overcast clouds
128,Atar,MR,20.5169,-13.0499,82.99,13,19,16.28,few clouds
129,Juneau,US,58.3019,-134.4197,38.84,96,100,9.22,snow
130,Ilulissat,GL,69.2167,-51.1,33.82,55,75,16.11,broken clouds
131,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.42,96,100,15.82,overcast clouds
132,Hay River,CA,60.8156,-115.7999,-12.15,98,97,5.19,overcast clouds
133,Thompson,CA,55.7435,-97.8558,-7.24,87,94,7.81,overcast clouds
134,Morondava,MG,-20.2833,44.2833,82.27,81,66,9.66,broken clouds
135,Constantine,DZ,36.365,6.6147,54.81,54,75,6.91,broken clouds
136,Tuktoyaktuk,CA,69.4541,-133.0374,-31.61,100,32,5.68,scattered clouds
137,Amahai,ID,-3.3333,128.9167,77.05,89,100,4.18,overcast clouds
138,Darnah,LY,32.767,22.6367,57.78,54,2,6.96,clear sky
139,Mar Del Plata,AR,-38.0023,-57.5575,62.87,70,0,18.01,clear sky
140,Rudnogorsk,RU,57.2639,103.7519,-25.44,100,64,2.39,broken clouds
141,Mount Gambier,AU,-37.8333,140.7667,64.31,72,80,8.05,broken clouds
142,Hilo,US,19.7297,-155.09,67.12,89,10,5.99,clear sky
143,Pochutla,MX,15.7432,-96.4661,87.62,40,33,5.48,scattered clouds
144,Lekoni,GA,-1.5843,14.2591,82.2,58,64,6.2,broken clouds
145,Chuy,UY,-33.6971,-53.4616,75.09,82,98,5.41,overcast clouds
146,Avarua,CK,-21.2078,-159.775,71.65,100,94,2.3,overcast clouds
147,Ratnagiri,IN,16.9833,73.3,75.45,64,8,7.65,clear sky
148,Namatanai,PG,-3.6667,152.4333,78.06,82,100,3.78,light rain
149,Kahului,US,20.8947,-156.47,70.84,81,20,3.44,few clouds
150,New Norfolk,AU,-42.7826,147.0587,54.75,67,77,2.66,broken clouds
151,Tibati,CM,6.4667,12.6333,85.26,16,49,4.61,scattered clouds
152,Borgarnes,IS,64.5383,-21.9206,25.36,74,23,8.23,few clouds
153,Labuhan,ID,-6.8844,112.2051,76.89,87,100,6.06,moderate rain
154,Ochtrup,DE,52.2167,7.1833,42.01,56,83,9.57,broken clouds
155,Warrnambool,AU,-38.3833,142.4833,64.81,68,22,15.08,few clouds
156,Palana,RU,59.1167,159.9667,-12.08,95,32,4.09,scattered clouds
157,San Policarpo,PH,12.1791,125.5072,78.26,86,100,13.76,overcast clouds
158,Henties Bay,NA,-22.116,14.2845,74.86,79,14,8.14,light rain
159,Port Blair,IN,11.6667,92.75,77.47,69,10,14.58,clear sky
160,Fengrun,CN,39.8333,118.1167,24.75,56,100,6.11,overcast clouds
161,Iisalmi,FI,63.5592,27.1907,24.82,98,59,3.22,broken clouds
162,Maumere,ID,-8.6199,122.2111,78.48,81,99,3.02,overcast clouds
163,Casper,US,42.8666,-106.3131,29.5,69,96,18.99,overcast clouds
164,La Plata,AR,-34.9215,-57.9545,70.03,58,97,10.63,overcast clouds
165,Sibu,MY,2.3,111.8167,72.91,99,100,2.28,overcast clouds
166,Nanortalik,GL,60.1432,-45.2371,30.76,96,100,7.36,snow
167,Biak,ID,-0.9131,122.8766,74.88,87,100,4.21,overcast clouds
168,Naliya,IN,23.2667,68.8333,67.84,52,0,7.49,clear sky
169,Iqaluit,CA,63.7506,-68.5145,-35.45,92,30,4.0,scattered clouds
170,Impfondo,CG,1.6381,18.0667,86.76,22,25,1.36,scattered clouds
171,Qaanaaq,GL,77.484,-69.3632,-20.61,48,0,9.15,clear sky
172,Flinders,AU,-34.5833,150.8552,65.21,93,97,4.0,overcast clouds
173,Fatezh,RU,52.0891,35.8632,30.18,93,70,8.7,broken clouds
174,San Cristobal,VE,7.7669,-72.225,77.18,39,96,8.28,overcast clouds
175,Jackson,US,42.4165,-122.8345,63.64,70,0,0.0,clear sky
176,East London,ZA,-33.0153,27.9116,78.73,84,0,16.06,clear sky
177,Arman,RU,59.7,150.1667,-8.28,81,93,7.49,overcast clouds
178,Cockburn Town,TC,21.4612,-71.1419,80.56,61,40,19.57,scattered clouds
179,Dumabato,PH,16.3167,121.7,66.49,95,77,1.72,broken clouds
180,Barrow,US,71.2906,-156.7887,-34.58,100,100,6.91,overcast clouds
181,Ponta Do Sol,PT,32.6667,-17.1,67.71,69,17,3.83,few clouds
182,Berat,AL,40.7058,19.9522,51.62,71,100,1.81,overcast clouds
183,Carberry,CA,49.8689,-99.3602,-4.11,87,72,9.69,broken clouds
184,Boguchany,RU,58.3814,97.4531,-18.74,100,25,3.02,scattered clouds
185,Caravelas,BR,-17.7125,-39.2481,84.02,63,95,9.91,overcast clouds
186,Hobyo,SO,5.3505,48.5268,77.58,67,98,16.91,overcast clouds
187,Solnechnyy,RU,50.7214,136.6319,10.63,92,100,7.25,overcast clouds
188,Mount Isa,AU,-20.7333,139.5,74.97,94,43,1.14,scattered clouds
189,Tiznit,MA,29.5833,-9.5,63.18,46,0,8.01,clear sky
190,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,19.57,broken clouds
191,Falam,MM,22.9167,93.6833,43.14,47,2,2.51,clear sky
192,Kalangala,UG,-0.3089,32.225,72.75,65,100,11.48,overcast clouds
193,Abu Samrah,SY,35.3029,37.1841,51.96,59,0,5.14,clear sky
194,Lyuban,BY,52.7985,28.0048,28.74,80,10,10.18,clear sky
195,Cabo San Lucas,MX,22.8909,-109.9124,76.6,33,20,8.05,few clouds
196,Grindavik,IS,63.8424,-22.4338,25.27,74,0,10.36,clear sky
197,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,69,40,8.05,scattered clouds
198,Linxia,CN,35.6003,103.2064,13.95,71,2,5.06,clear sky
199,Natal,BR,-5.795,-35.2094,88.45,66,75,14.97,broken clouds
200,Lavrentiya,RU,65.5833,-171.0,-19.01,94,11,6.96,few clouds
201,Kruisfontein,ZA,-34.0033,24.7314,72.72,88,42,8.72,scattered clouds
202,Sinnamary,GF,5.3833,-52.95,79.95,81,75,12.24,broken clouds
203,Kurayoshi,JP,35.4333,133.8167,39.99,80,40,3.56,scattered clouds
204,La Rioja,ES,42.25,-2.5,52.05,84,91,3.51,overcast clouds
205,Mehamn,NO,71.0357,27.8492,26.55,80,75,20.71,light shower snow
206,Cidreira,BR,-30.1811,-50.2056,79.65,68,8,15.97,clear sky
207,Oistins,BB,13.0667,-59.5333,80.69,69,75,24.16,broken clouds
208,Warrington,GB,53.3925,-2.5802,47.44,87,75,23.02,broken clouds
209,Atasu,KZ,48.6814,71.6433,10.83,97,100,12.21,overcast clouds
210,Guerrero Negro,MX,27.9769,-114.0611,67.08,47,100,3.78,overcast clouds
211,Turukhansk,RU,65.8167,87.9833,-12.1,80,1,8.72,clear sky
212,Axim,GH,4.8699,-2.2405,83.61,69,98,8.14,overcast clouds
213,Morros,BR,-9.4467,-46.3003,84.33,60,36,3.98,scattered clouds
214,Independence,US,39.0911,-94.4155,22.48,48,0,9.22,clear sky
215,Port Elizabeth,ZA,-33.918,25.5701,74.8,89,32,15.77,scattered clouds
216,Aklavik,CA,68.2191,-135.0107,-37.66,100,49,1.99,scattered clouds
217,Port Augusta,AU,-32.5,137.7667,73.62,26,48,4.41,scattered clouds
218,Vila Velha,BR,-20.3297,-40.2925,76.95,91,75,10.36,light rain
219,Klaksvik,FO,62.2266,-6.589,40.12,87,100,11.01,overcast clouds
220,Mosetse,BW,-20.75,26.65,80.42,36,100,4.0,overcast clouds
221,Agadir,MA,30.4202,-9.5982,72.05,45,0,7.45,clear sky
222,Kloulklubed,PW,7.0419,134.2556,81.1,76,72,23.94,broken clouds
